,Unnamed: 0,index,x2d_region,x2d_leadtime,x2d_season,x2d_level,,time_step,hit_rate,false_alarm_ratio,bias_score,hanssen_kuipers_score,heidke_skill_score,total,auroc_score,auroc_lb,auroc_ub,cat,obs_count,threshold,hits,misses,FA,CN,hit_percentage,trigger_value,td
0,0,79,0,3,jja,mod,,35,0.983870967741936,0.046875,1.03225806451613,0.953258722843976,0.473821989528796,160,0.999522059332265,0.998517676386827,1,mod,19,-0.43,19,0,24,1,100,0.0101010101010101,
1,1,123,0,3,jja,mod,,35,0.983870967741936,0.046875,1.03225806451613,0.953258722843976,0.473821989528796,160,0.998088538708314,0.995867483219944,0.999532284080676,mod,19,-0.43,19,0,23,2,100,0.0202020202020202,
2,2,167,0,3,jja,mod,,35,0.983870967741936,0.046875,1.03225806451613,0.953258722843976,0.473821989528796,160,0.998080067169622,0.995832946096654,0.999541294915026,mod,19,-0.43,19,0,21,4,100,0.0303030303030303,
3,3,200,0,3,jja,mod,,24,0.982456140350877,0.138461538461538,1.14035087719298,0.895077499574178,0.433938893476466,160,0.991826647513856,0.987708947885939,0.995327862095298,mod,19,-0.43,19,0,21,4,100,0.0404040404040404,
4,4,211,0,3,jja,mod,,35,0.82258064516129,0,0.82258064516129,0.82258064516129,0.425144607009187,160,0.991826647513856,0.987708947885939,0.995327862095298,mod,19,-0.43,19,0,21,4,100,0.0404040404040404,
5,5,244,0,3,jja,mod,,24,0.982456140350877,0.138461538461538,1.14035087719298,0.895077499574178,0.433938893476466,160,0.991846340290771,0.987983256673688,0.995314401924469,mod,19,-0.43,18,1,20,5,94.7368421052632,0.0505050505050505,
6,6,255,0,3,jja,mod,,35,0.82258064516129,0,0.82258064516129,0.82258064516129,0.425144607009187,160,0.991846340290771,0.987983256673688,0.995314401924469,mod,19,-0.43,18,1,20,5,94.7368421052632,0.0505050505050505,
7,7,288,0,3,jja,mod,,24,0.982456140350877,0.138461538461538,1.14035087719298,0.895077499574178,0.433938893476466,160,0.991893267409406,0.987864077669903,0.995648388323029,mod,19,-0.43,18,1,18,7,94.7368421052632,0.0606060606060606,
8,8,299,0,3,jja,mod,,35,0.82258064516129,0,0.82258064516129,0.82258064516129,0.425144607009187,160,0.991893267409406,0.987864077669903,0.995648388323029,mod,19,-0.43,18,1,18,7,94.7368421052632,0.0606060606060606,
9,9,332,0,3,jja,mod,,24,0.982456140350877,0.138461538461538,1.14035087719298,0.895077499574178,0.433938893476466,160,0.991908213140973,0.988049713193117,0.995631490488442,mod,19,-0.43,15,4,15,10,78.9473684210526,0.0707070707070707,
10,10,343,0,3,jja,mod,,35,0.82258064516129,0,0.82258064516129,0.82258064516129,0.425144607009187,160,0.991908213140973,0.988049713193117,0.995631490488442,mod,19,-0.43,15,4,15,10,78.9473684210526,0.0707070707070707,
11,11,376,0,3,jja,mod,,24,0.754385964912281,0.122448979591837,0.859649122807018,0.696133537727815,0.359328292597151,160,0.974703109765664,0.967934893459775,0.981043365147716,mod,19,-0.43,14,5,15,10,73.6842105263158,0.0808080808080808,
12,12,420,0,3,jja,mod,,24,0.754385964912281,0.122448979591837,0.859649122807018,0.696133537727815,0.359328292597151,160,0.974940880207898,0.968193083954996,0.981627847238093,mod,19,-0.43,14,5,12,13,73.6842105263158,0.0909090909090909,
13,13,464,0,3,jja,mod,,24,0.754385964912281,0.122448979591837,0.859649122807018,0.696133537727815,0.359328292597151,160,0.97462237409925,0.967303470354839,0.981481932273072,mod,19,-0.43,13,6,11,14,68.421052631579,0.101010101010101,
14,14,508,0,3,jja,mod,,24,0.754385964912281,0.122448979591837,0.859649122807018,0.696133537727815,0.359328292597151,160,0.974775556542438,0.96818491285403,0.981175445664082,mod,19,-0.43,13,6,11,14,68.421052631579,0.111111111111111,1
15,15,546,0,3,jja,mod,,18,0.9,0.26530612244898,1.225,0.791666666666667,0.368217054263566,160,0.946539947557957,0.936457959293075,0.955702470714959,mod,19,-0.43,11,8,10,15,57.8947368421053,0.121212121212121,
16,16,590,0,3,jja,mod,,18,0.9,0.26530612244898,1.225,0.791666666666667,0.368217054263566,160,0.946630664492856,0.937329506198716,0.955417895425609,mod,19,-0.43,10,9,8,17,52.6315789473684,0.131313131313131,
17,17,634,0,3,jja,mod,,18,0.9,0.26530612244898,1.225,0.791666666666667,0.368217054263566,160,0.943516499604242,0.934266893138415,0.952562498342973,mod,19,-0.43,9,10,6,19,47.3684210526316,0.141414141414141,
18,18,657,0,3,jja,mod,,41,0.869565217391304,0.322033898305085,1.28260869565217,0.702898550724638,0.324129440731622,160,0.943516499604242,0.934266893138415,0.952562498342973,mod,19,-0.43,9,10,6,19,47.3684210526316,0.141414141414141,
19,19,678,0,3,jja,mod,,18,0.9,0.26530612244898,1.225,0.791666666666667,0.368217054263566,160,0.943705662617976,0.93380171115012,0.9532693746617,mod,19,-0.43,9,10,5,20,47.3684210526316,0.151515151515152,
20,20,701,0,3,jja,mod,,41,0.869565217391304,0.322033898305085,1.28260869565217,0.702898550724638,0.324129440731622,160,0.943705662617976,0.93380171115012,0.9532693746617,mod,19,-0.43,9,10,5,20,47.3684210526316,0.151515151515152,
21,21,744,0,3,jja,mod,,40,0.984615384615385,0.0153846153846153,1,0.974089068825911,0.487044534412956,160,0.901029554968111,0.890075179107551,0.911968946042278,mod,19,-0.43,9,10,4,21,47.3684210526316,0.161616161616162,
